metric,value
dataset,app_logs_7d
row_count,9623
column_count,28
start_time,2026-06-07T18:15:12.991199+00:00
end_time,2026-06-07T22:53:06.843649+00:00
missing_timestamp,0
missing_user_id_hash,0
missing_tenant_hash,3923
missing_endpoint_template,0
unique_user_hashes,173
unique_tenant_hashes,122
unique_endpoint_templates,48
error_rows,1105
suspicious_path_rows,204
request_sensitive_key_rows,0
response_time_avg_ms,246.98
response_time_p95_ms,593.0
response_time_max_ms,3682.0
